序号,shopid,itemid,标题,图片地址,图片地址列表,价格,划线价,折扣,详情,详情图片列表,规格,SKU列表,销量,评分,评分明细,店铺名,店铺地区,api地址,来源页面,详情页URL,详情状态,详情错误,采集时间,原始JSON
1,,3387709003,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3387709003.html,pending,,,{}
2,,2449713659,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2449713659.html,empty,detail fields not found,2026-07-10T04:03:24.433489+00:00,"{""module"": {}, ""page_json"": []}"
3,,2835473149,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2835473149.html,empty,detail fields not found,2026-07-10T03:59:47.913912+00:00,"{""module"": {}, ""page_json"": []}"
4,,3276979424,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3276979424.html,pending,,,{}
5,,3422075610,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3422075610.html,empty,detail fields not found,2026-07-10T03:52:31.927945+00:00,"{""module"": {}, ""page_json"": []}"
6,,2689776758,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2689776758.html,empty,detail fields not found,2026-07-10T04:04:25.758002+00:00,"{""module"": {}, ""page_json"": []}"
7,,3608231214,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3608231214.html,empty,detail fields not found,2026-07-10T03:56:11.421995+00:00,"{""module"": {}, ""page_json"": []}"
8,,13787485621,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13787485621.html,empty,detail fields not found,2026-07-10T04:02:21.832941+00:00,"{""module"": {}, ""page_json"": []}"
9,,3490378046,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3490378046.html,empty,detail fields not found,2026-07-10T03:52:00.562946+00:00,"{""module"": {}, ""page_json"": []}"
10,,520104203,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i520104203.html,pending,,,{}
11,,13785336593,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13785336593.html,empty,detail fields not found,2026-07-10T03:55:08.074149+00:00,"{""module"": {}, ""page_json"": []}"
12,,3483041647,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3483041647.html,pending,,,{}
13,,2945178503,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2945178503.html,empty,detail fields not found,2026-07-10T03:58:13.767873+00:00,"{""module"": {}, ""page_json"": []}"
14,,13692131185,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13692131185.html,empty,detail fields not found,2026-07-10T03:53:35.982166+00:00,"{""module"": {}, ""page_json"": []}"
15,,2879439176,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2879439176.html,pending,,,{}
16,,3571164391,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3571164391.html,empty,detail fields not found,2026-07-10T04:01:20.237623+00:00,"{""module"": {}, ""page_json"": []}"
17,,2793686978,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2793686978.html,pending,,,{}
18,,13673710523,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13673710523.html,empty,detail fields not found,2026-07-10T04:06:32.720822+00:00,"{""module"": {}, ""page_json"": []}"
19,,3049076875,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3049076875.html,empty,detail fields not found,2026-07-10T03:54:07.296978+00:00,"{""module"": {}, ""page_json"": []}"
20,,3454244119,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3454244119.html,pending,,,{}
21,,3551851793,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3551851793.html,empty,detail fields not found,2026-07-10T03:57:12.367423+00:00,"{""module"": {}, ""page_json"": []}"
22,,13788914479,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13788914479.html,pending,,,{}
23,,2631035179,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2631035179.html,empty,detail fields not found,2026-07-10T03:56:43.767935+00:00,"{""module"": {}, ""page_json"": []}"
24,,3051613849,,,[],,,,"[{""type"": ""text"", ""text"": ""Product Details Specifications Brand YC2 SKU 3051613849_SGAMZ-20938238272 Model c29+718 input voltage (V) 5V Plug Type type-c Data Transfer Speed usb3.1 gen2: 20gbps Description""}, {""type"": ""image"", ""url"": ""https://img.lazcdn.com/g/ff/kf/S1c92863a42c744e0b081fcae98a60357M.jpg_2200x2200q80.jpg_.webp""}, {""type"": ""image"", ""url"": ""https://img.lazcdn.com/g/ff/kf/Scd76d26852c64615b151a91704671f48o.jpg_2200x2200q80.jpg_.webp""}, {""type"": ""image"", ""url"": ""https://img.lazcdn.com/g/ff/kf/S955e60125be04954bb520caf1426cbeee.jpg_2200x2200q80.jpg_.webp""}, {""type"": ""image"", ""url"": ""https://img.lazcdn.com/g/ff/kf/S47745d272d9d4d78b57d043a05979866Q.jpg_2200x2200q80.jpg_.webp""}, {""type"": ""image"", ""url"": ""https://img.lazcdn.com/g/ff/kf/S7d3a69dd235e4fa99ba4e3fdb8519767z.jpg_2200x2200q80.jpg_.webp""}, {""type"": ""image"", ""url"": ""https://img.lazcdn.com/g/ff/kf/S352fd8d75f554a08b4b67593c211d863h.jpg_2200x2200q80.jpg_.webp""}, {""type"": ""image"", ""url"": ""https://img.lazcdn.com/g/ff/kf/S432c171c307d4f27982997e93341c3f0r.jpg_2200x2200q80.jpg_.webp""}, {""type"": ""image"", ""url"": ""https://img.lazcdn.com/g/ff/kf/Sd08bcbd884c74383a87cd24970bd35957.jpg_2200x2200q80.jpg_.webp""}, {""type"": ""image"", ""url"": ""https://img.lazcdn.com/g/ff/kf/Se985d01a02954ac0a9c2c85d3e511fd9b.jpg_2200x2200q80.jpg_.webp""}, {""type"": ""image"", ""url"": ""https://img.lazcdn.com/g/ff/kf/S842f6e010b074a778e3cbeecff807920a.jpg_2200x2200q80.jpg_.webp""}, {""type"": ""text"", ""text"": ""If you want to report an issue with this item Click Here VIEW MORE""}]","[""https://img.lazcdn.com/g/ff/kf/S1c92863a42c744e0b081fcae98a60357M.jpg_2200x2200q80.jpg_.webp"", ""https://img.lazcdn.com/g/ff/kf/Scd76d26852c64615b151a91704671f48o.jpg_2200x2200q80.jpg_.webp"", ""https://img.lazcdn.com/g/ff/kf/S955e60125be04954bb520caf1426cbeee.jpg_2200x2200q80.jpg_.webp"", ""https://img.lazcdn.com/g/ff/kf/S47745d272d9d4d78b57d043a05979866Q.jpg_2200x2200q80.jpg_.webp"", ""https://img.lazcdn.com/g/ff/kf/S7d3a69dd235e4fa99ba4e3fdb8519767z.jpg_2200x2200q80.jpg_.webp"", ""https://img.lazcdn.com/g/ff/kf/S352fd8d75f554a08b4b67593c211d863h.jpg_2200x2200q80.jpg_.webp"", ""https://img.lazcdn.com/g/ff/kf/S432c171c307d4f27982997e93341c3f0r.jpg_2200x2200q80.jpg_.webp"", ""https://img.lazcdn.com/g/ff/kf/Sd08bcbd884c74383a87cd24970bd35957.jpg_2200x2200q80.jpg_.webp"", ""https://img.lazcdn.com/g/ff/kf/Se985d01a02954ac0a9c2c85d3e511fd9b.jpg_2200x2200q80.jpg_.webp"", ""https://img.lazcdn.com/g/ff/kf/S842f6e010b074a778e3cbeecff807920a.jpg_2200x2200q80.jpg_.webp""]",[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3051613849.html,ok,,2026-07-10T04:06:56.803884+00:00,"{""module"": {}, ""page_json"": []}"
25,,2927173908,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2927173908.html,empty,detail fields not found,2026-07-10T04:00:19.350844+00:00,"{""module"": {}, ""page_json"": []}"
26,,13787896250,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13787896250.html,empty,detail fields not found,2026-07-10T04:02:51.242609+00:00,"{""module"": {}, ""page_json"": []}"
27,,3200149443,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3200149443.html,empty,detail fields not found,2026-07-10T04:04:58.934874+00:00,"{""module"": {}, ""page_json"": []}"
28,,2832648235,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2832648235.html,empty,detail fields not found,2026-07-10T03:59:16.529455+00:00,"{""module"": {}, ""page_json"": []}"
29,,3359885932,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3359885932.html,empty,detail fields not found,2026-07-10T04:06:02.944036+00:00,"{""module"": {}, ""page_json"": []}"
30,,2723718678,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2723718678.html,pending,,,{}
31,,3489588759,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3489588759.html,empty,detail fields not found,2026-07-10T04:03:53.391146+00:00,"{""module"": {}, ""page_json"": []}"
32,,1474370535,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i1474370535.html,empty,detail fields not found,2026-07-10T04:00:48.624163+00:00,"{""module"": {}, ""page_json"": []}"
33,,13692053544,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13692053544.html,pending,,,{}
34,,2845543257,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i2845543257.html,empty,detail fields not found,2026-07-10T04:01:51.914760+00:00,"{""module"": {}, ""page_json"": []}"
35,,13770555360,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13770555360.html,empty,detail fields not found,2026-07-10T03:57:43.037645+00:00,"{""module"": {}, ""page_json"": []}"
36,,13702416436,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13702416436.html,empty,detail fields not found,2026-07-10T03:53:04.224560+00:00,"{""module"": {}, ""page_json"": []}"
37,,13787908440,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13787908440.html,empty,detail fields not found,2026-07-10T03:54:39.599449+00:00,"{""module"": {}, ""page_json"": []}"
38,,13788818106,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13788818106.html,empty,detail fields not found,2026-07-10T03:58:46.111248+00:00,"{""module"": {}, ""page_json"": []}"
39,,13771433239,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i13771433239.html,empty,detail fields not found,2026-07-10T04:05:30.675277+00:00,"{""module"": {}, ""page_json"": []}"
40,,3362152071,,,[],,,,[],[],[],[],,,,,,,https://www.lazada.sg/catalog?q=Adapters%20%26%20Cables&from=hp_categories&src=all_channel,https://www.lazada.sg/products/pdp-i3362152071.html,empty,detail fields not found,2026-07-10T03:55:39.652705+00:00,"{""module"": {}, ""page_json"": []}"
